date,nav,scheme_code,daily_return
2024-05-22,103.7992,119551,0.0007182474376883352
2024-05-24,103.871,119551,0.0006917201674001561
2024-05-27,103.9153,119551,0.00042649055077936815
2024-05-28,103.9118,119551,-3.368127696312673e-05
2024-05-29,103.8954,119551,-0.0001578261564134653
2024-05-30,103.9279,119551,0.0003128146193189796
2024-05-31,103.9547,119551,0.00025787108177888207
2024-06-03,104.0983,119551,0.0013813709240659833
2024-06-04,103.8414,119551,-0.002467859705682085
2024-06-05,103.9001,119551,0.000565285136756577
2024-06-06,103.9979,119551,0.0009412887956796734
2024-06-07,104.0351,119551,0.0003576995304712671
2024-06-10,104.0928,119551,0.0005546205078863498
2024-06-11,104.1556,119551,0.0006033078176397311
2024-06-12,104.1778,119551,0.0002131426442744111
2024-06-13,104.2366,119551,0.0005644196748251229
2024-06-14,104.2704,119551,0.0003242623032599923
2024-06-18,104.3524,119551,0.0007864168546396488
2024-06-19,104.3994,119551,0.00045039692426818156
2024-06-20,104.432,119551,0.0003122623310096717
2024-06-21,104.4713,119551,0.00037632143404309204
2024-06-24,117.8708,119551,0.12826010588553993
2024-06-25,104.5405,119551,-0.11309247073914841
2024-06-26,104.5187,119551,-0.00020853162171596829
2024-06-27,104.5382,119551,0.00018656948469519818
2024-06-28,104.574,119551,0.0003424585462539209
2024-06-30,104.6136,119551,0.00037867921280621
2024-07-01,104.6276,119551,0.00013382581232268542
2024-07-02,104.6724,119551,0.00042818529718724463
2024-07-03,104.7114,119551,0.0003725910555218981
2024-07-04,104.745,119551,0.00032088196700641447
2024-07-05,104.7786,119551,0.00032077903479876824
2024-07-08,104.8485,119551,0.0006671209579056647
2024-07-09,104.8761,119551,0.00026323695617946896
2024-07-10,104.9009,119551,0.0002364695102126113
2024-07-11,104.9227,119551,0.00020781518557044798
2024-07-12,104.9292,119551,6.195036917633345e-05
2024-07-15,105.0151,119551,0.0008186472402345046
2024-07-16,105.0855,119551,0.000670379783478614
2024-07-18,105.1452,119551,0.0005681088256705991
2024-07-19,105.1758,119551,0.00029102612387443827
2024-07-22,105.223,119551,0.00044877243624497076
2024-07-23,105.2253,119551,2.185833895640421e-05
2024-07-24,105.2595,119551,0.000325016892325225
2024-07-25,105.3408,119551,0.0007723768400951236
2024-07-26,105.4135,119551,0.0006901409520336799
2024-07-29,105.5119,119551,0.0009334667760769744
2024-07-30,105.5094,119551,-2.3694009869901222e-05
2024-07-31,105.5109,119551,1.421674277368723e-05
2024-08-01,105.5455,119551,0.00032792820457405725
2024-08-02,105.5909,119551,0.0004301462402471756
2024-08-05,105.7262,119551,0.0012813604202634998
2024-08-06,105.7253,119551,-8.51255412570584e-06
2024-08-07,105.7549,119551,0.0002799708300662562
2024-08-08,105.7637,119551,8.321127437116438e-05
2024-08-09,105.7861,119551,0.00021179289302475368
2024-08-12,105.8262,119551,0.00037906681501631567
2024-08-13,105.8532,119551,0.00025513530675769225
2024-08-14,105.8943,119551,0.0003882735713232055
2024-08-16,105.9116,119551,0.00016337045525594007
2024-08-19,105.9818,119551,0.0006628169152387287
2024-08-20,106.0252,119551,0.0004095042733751608
2024-08-21,106.0518,119551,0.0002508837521646434
2024-08-22,106.0858,119551,0.00032059804736928044
2024-08-23,106.1127,119551,0.00025356833808110046
2024-08-26,106.1703,119551,0.0005428190970542257
2024-08-27,106.1953,119551,0.0002354707484109042
2024-08-28,106.2365,119551,0.00038796443910427136
2024-08-29,106.2648,119551,0.00026638678796819804
2024-08-30,106.2668,119551,1.8820907770056294e-05
2024-09-02,106.3054,119551,0.00036323668351734284
2024-09-03,106.3329,119551,0.0002586886461082294
2024-09-04,106.3754,119551,0.00039968814919943974
2024-09-05,106.4059,119551,0.0002867204259631162
2024-09-06,106.4146,119551,8.17623834767911e-05
2024-09-09,106.4667,119551,0.0004895944729390589
2024-09-10,106.4902,119551,0.0002207262928219933
2024-09-11,106.5512,119551,0.0005728226634937883
2024-09-12,106.5827,119551,0.0002956325222054357
2024-09-13,106.6573,119551,0.0006999259729769669
2024-09-16,106.7623,119551,0.0009844614480207792
2024-09-17,106.7639,119551,1.4986563609209469e-05
2024-09-19,106.8809,119551,0.0010958760404966572
2024-09-20,106.929,119551,0.0004500336355701684
2024-09-23,107.0237,119551,0.0008856343929148913
2024-09-24,107.0466,119551,0.0002139712979460917
2024-09-25,107.1126,119551,0.0006165539120346342
2024-09-26,107.1966,119551,0.0007842214641415879
2024-09-27,107.1769,119551,-0.00018377448538475782
2024-09-30,107.225,119551,0.00044879073755632604
2024-10-01,107.3237,119551,0.000920494287712792
2024-10-03,107.3076,119551,-0.0001500134639413897
2024-10-04,107.2257,119551,-0.0007632264629904295
2024-10-07,107.2487,119551,0.0002145008146368088
2024-10-08,107.3126,119551,0.0005958114177608831
2024-10-09,107.4772,119551,0.0015338366603734332
2024-10-10,107.504,119551,0.00024935521208235834
2024-10-11,107.5265,119551,0.00020929453787754682
2024-10-14,107.6186,119551,0.00085653304069222
2024-10-15,107.6534,119551,0.00032336417682454766
2024-10-16,107.6535,119551,9.289070292961554e-07
2024-10-17,107.6503,119551,-2.9724997329338976e-05
2024-10-18,107.6158,119551,-0.0003204821537887703
2024-10-21,107.6357,119551,0.00018491708466616963
2024-10-22,107.5869,119551,-0.0004533811737184035
2024-10-23,107.6336,119551,0.0004340677164227369
2024-10-24,107.674,119551,0.00037534747513801037
2024-10-25,107.6909,119551,0.00015695525382164455
2024-10-28,107.6861,119551,-4.457201119134613e-05
2024-10-29,107.725,119551,0.000361235108337965
2024-10-30,107.7881,119551,0.0005857507542352813
2024-10-31,107.8015,119551,0.000124317990575884
2024-11-04,107.8739,119551,0.000671604755035915
2024-11-05,107.8874,119551,0.0001251461196822845
2024-11-06,107.8879,119551,4.63446148479818e-06
2024-11-07,107.9237,119551,0.0003318259044804428
